SURVYEAR	LFSSTAT	PROV	SEX	TENURE	UNION	HRLYEARN	EDUC	AGE
1997	Employed,	ON	Male	77	NA	NA	HS Dropout	45-59
1997	Employed,	QU	Male	7	No	8.75	HS Grad	45-59
1997	Employed,	ON	Male	103	No	10	HS Grad	15-29
1997	Employed,	QU	Female	99	No	14.62	Some PS	45-59
1997	Employed,	ON	Male	240	No	30.77	BA or More	45-59
1997	Employed,	AL	Male	20	Yes	14.42	BA or More	30-44
1997	Employed,	ON	Female	6	No	16.83	Some PS	15-29
1997	Unemployed	ON	Female	NA	NA	NA	Some PS	45-59
1997	Employed,	BC	Male	55	NA	NA	Some PS	30-44
1997	Employed,	AL	Male	93	No	27.4	Some PS	30-44
1997	Employed,	AL	Male	5	No	8	HS Grad	15-29
1997	Employed,	QU	Female	6	No	8.5	HS Dropout	45-59
1997	Employed,	ON	Female	30	No	12	Some PS	30-44
1997	Employed,	BC	Male	67	No	11	BA or More	30-44
1997	Employed,	AL	Male	60	NA	NA	Some PS	15-29
1997	Employed,	ON	Male	240	No	24.04	Some PS	45-59
1997	Employed,	AL	Female	22	No	8	HS Grad	15-29
1997	Employed,	ON	Female	45	No	9	BA or More	30-44
1997	Employed,	ON	Male	5	NA	NA	Some PS	30-44
1997	Employed,	ON	Male	10	No	14.84	BA or More	15-29
1997	Employed,	AL	Female	194	Yes	18.5	HS Grad	30-44
1997	Employed,	ON	Male	128	No	18.35	HS Grad	30-44
1997	Employed,	BC	Male	40	No	7.67	HS Dropout	15-29
1997	Employed,	QU	Male	240	Yes	42.47	BA or More	45-59
1997	Employed,	ON	Female	8	No	7.25	HS Grad	30-44
1997	Employed,	BC	Male	240	NA	NA	HS Grad	45-59
1997	Employed,	ON	Male	73	No	8.75	Some PS	15-29
1997	Employed,	QU	Male	74	NA	NA	BA or More	30-44
1997	Employed,	ON	Female	92	Yes	9.26	HS Dropout	45-59
1997	Employed,	QU	Male	240	Yes	21	Some PS	45-59
1997	Unemployed	ON	Male	NA	NA	NA	HS Grad	30-44
1997	Employed,	ON	Female	4	No	8	BA or More	30-44
1997	Employed,	QU	Female	154	Yes	31.84	Some PS	30-44
1997	Employed,	BC	Male	28	NA	NA	Some PS	45-59
1997	Employed,	BC	Male	202	NA	NA	BA or More	45-59
1997	Employed,	ON	Male	42	No	17	HS Dropout	30-44
1997	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	AL	Male	192	Yes	28.21	BA or More	45-59
1997	Employed,	ON	Male	8	No	12.5	Some PS	15-29
1997	Employed,	ON	Female	21	Yes	12.18	HS Grad	45-59
1997	Employed,	QU	Male	240	Yes	14	HS Dropout	45-59
1997	Employed,	QU	Female	240	No	22.6	Some PS	45-59
1997	Employed,	ON	Female	8	No	5.95	HS Grad	15-29
1997	Employed,	AL	Male	230	NA	NA	Some PS	45-59
1997	Employed,	ON	Female	96	NA	NA	BA or More	45-59
1997	Employed,	AL	Female	25	No	5	HS Grad	15-29
1997	Employed,	AL	Female	102	No	26.3	Some PS	30-44
1997	Employed,	ON	Male	71	No	6.5	HS Grad	15-29
1997	Employed,	ON	Male	10	No	12.25	Some PS	45-59
1997	Employed,	QU	Female	124	No	4.81	Some PS	30-44
1997	Employed,	QU	Male	141	No	11.25	Some PS	30-44
1997	Employed,	ON	Female	91	No	20.51	HS Dropout	30-44
1997	Employed,	AL	Male	148	No	22.55	Some PS	30-44
1997	Employed,	QU	Male	240	Yes	15.83	HS Dropout	30-44
1997	Employed,	QU	Male	57	Yes	15	Some PS	30-44
1997	Employed,	QU	Male	3	No	6.7	Some PS	15-29
1997	Employed,	AL	Female	206	No	10	Some PS	45-59
1997	Employed,	ON	Male	2	NA	NA	Some PS	30-44
1997	Employed,	ON	Male	81	Yes	28	Some PS	45-59
1997	Unemployed	QU	Male	NA	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Female	39	NA	NA	Some PS	60+
1997	Employed,	ON	Female	39	No	6.85	HS Dropout	15-29
1997	Employed,	QU	Male	31	No	37.5	BA or More	45-59
1997	Unemployed	ON	Male	NA	NA	NA	Some PS	45-59
1997	Employed,	AL	Female	3	No	7	Some PS	30-44
1997	Employed,	ON	Male	240	No	43.59	BA or More	45-59
1997	Employed,	QU	Male	240	Yes	21.08	Some PS	45-59
1997	Employed,	ON	Female	22	No	14.42	HS Grad	30-44
1997	Employed,	ON	Male	28	Yes	19.48	HS Dropout	15-29
1997	Employed,	AL	Female	34	No	9	Some PS	15-29
1997	Employed,	ON	Male	43	Yes	16.15	BA or More	30-44
1997	Unemployed	QU	Male	NA	NA	NA	HS Dropout	30-44
1997	Employed,	BC	Male	12	No	8	HS Grad	45-59
1997	Employed,	ON	Male	10	No	7.15	HS Dropout	15-29
1997	Employed,	QU	Female	68	Yes	21.5	Some PS	15-29
1997	Employed,	ON	Female	53	No	8	HS Dropout	15-29
1997	Employed,	AL	Male	31	No	18	Some PS	30-44
1997	Employed,	ON	Male	240	Yes	7.25	HS Dropout	45-59
1997	Employed,	QU	Male	21	No	12	Some PS	30-44
1997	Employed,	ON	Male	240	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Male	56	NA	NA	HS Dropout	15-29
1997	Employed,	QU	Female	240	NA	NA	HS Dropout	45-59
1997	Employed,	QU	Female	2	No	11	Some PS	30-44
1997	Employed,	ON	Female	103	Yes	14.14	HS Grad	30-44
1997	Employed,	QU	Male	5	No	9	Some PS	15-29
1997	Employed,	ON	Female	22	No	10.55	Some PS	15-29
1997	Employed,	ON	Female	211	Yes	11.43	HS Dropout	60+
1997	Employed,	BC	Male	205	No	23.75	HS Grad	45-59
1997	Employed,	QU	Female	28	No	15.5	Some PS	30-44
1997	Employed,	ON	Male	203	Yes	28.21	BA or More	30-44
1997	Employed,	BC	Male	240	No	37.1	HS Grad	45-59
1997	Unemployed	AL	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	AL	Male	24	Yes	18	Some PS	45-59
1997	Unemployed	ON	Male	NA	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Female	240	NA	NA	HS Grad	60+
1997	Employed,	AL	Male	3	No	13	Some PS	15-29
1997	Employed,	QU	Female	34	No	6.75	HS Grad	15-29
1997	Employed,	ON	Female	75	No	17.31	Some PS	45-59
1997	Employed,	AL	Male	14	No	18	BA or More	30-44
1997	Employed,	AL	Female	65	Yes	20.94	Some PS	45-59
1997	Employed,	QU	Female	240	No	9.5	HS Grad	45-59
1997	Employed,	AL	Male	22	No	21.63	HS Grad	30-44
1997	Employed,	ON	Male	48	NA	NA	BA or More	30-44
1997	Employed,	BC	Male	160	Yes	24	HS Grad	30-44
1997	Employed,	QU	Female	240	Yes	29.59	BA or More	45-59
1997	Employed,	ON	Male	185	Yes	25	Some PS	45-59
1997	Employed,	ON	Male	57	No	5.38	HS Dropout	30-44
1997	Employed,	BC	Female	240	Yes	18	Some PS	45-59
1997	Employed,	QU	Female	183	Yes	16.27	Some PS	30-44
1997	Employed,	ON	Female	127	Yes	16.95	Some PS	45-59
1997	Employed,	AL	Male	240	No	25	Some PS	30-44
1997	Employed,	ON	Female	126	No	34.97	Some PS	30-44
1997	Employed,	BC	Male	70	NA	NA	BA or More	45-59
1997	Unemployed	ON	Male	NA	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Male	43	Yes	23.31	BA or More	30-44
1997	Employed,	QU	Male	46	No	9	HS Dropout	15-29
1997	Employed,	BC	Female	7	No	8.58	Some PS	30-44
1997	Employed,	ON	Male	132	No	25	Some PS	30-44
1997	Employed,	ON	Male	24	Yes	12.65	Some PS	15-29
1997	Employed,	ON	Female	19	NA	NA	Some PS	15-29
1997	Employed,	QU	Male	6	No	9	Some PS	45-59
1997	Employed,	BC	Female	7	Yes	17.79	HS Grad	30-44
1997	Employed,	BC	Male	75	Yes	27	BA or More	30-44
1997	Employed,	QU	Male	67	No	11.25	HS Dropout	30-44
1997	Employed,	ON	Male	11	Yes	12.15	HS Dropout	30-44
1997	Employed,	AL	Male	27	No	13	HS Grad	15-29
1997	Employed,	ON	Female	62	No	11	HS Dropout	45-59
1997	Employed,	QU	Female	151	Yes	12	HS Dropout	30-44
1997	Employed,	AL	Male	1	No	5.25	HS Dropout	15-29
1997	Unemployed	ON	Male	NA	NA	NA	HS Dropout	15-29
1997	Employed,	ON	Female	89	Yes	16.99	HS Grad	30-44
1997	Employed,	QU	Male	240	Yes	17	Some PS	45-59
1997	Employed,	ON	Male	106	Yes	22.6	BA or More	45-59
1997	Unemployed	QU	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	156	NA	NA	Some PS	30-44
1997	Employed,	ON	Male	240	Yes	24.9	Some PS	45-59
1997	Employed,	ON	Male	30	Yes	19.23	BA or More	15-29
1997	Employed,	QU	Male	71	Yes	22	Some PS	30-44
1997	Employed,	BC	Female	30	NA	NA	Some PS	30-44
1997	Employed,	AL	Male	7	No	7	HS Dropout	30-44
1997	Employed,	QU	Male	7	No	16.35	Some PS	30-44
1997	Employed,	BC	Male	111	Yes	23	HS Dropout	15-29
1997	Employed,	QU	Female	3	No	9.85	HS Grad	15-29
1997	Employed,	ON	Female	49	No	11.83	HS Grad	15-29
1997	Employed,	BC	Male	12	No	7.65	HS Grad	15-29
1997	Employed,	BC	Female	240	No	26.67	BA or More	60+
1997	Unemployed	AL	Male	NA	NA	NA	BA or More	45-59
1997	Employed,	ON	Female	18	No	8	Some PS	30-44
1997	Employed,	ON	Female	169	No	28.85	BA or More	30-44
1997	Unemployed	ON	Female	NA	NA	NA	HS Grad	30-44
1997	Employed,	QU	Female	79	No	9	HS Dropout	45-59
1997	Employed,	AL	Male	12	No	16	Some PS	45-59
1997	Employed,	QU	Male	1	No	18	BA or More	15-29
1997	Employed,	QU	Male	114	Yes	13.24	Some PS	30-44
1997	Unemployed	AL	Female	NA	NA	NA	HS Grad	30-44
1997	Employed,	BC	Female	139	Yes	12.51	Some PS	45-59
1997	Employed,	ON	Male	228	Yes	23	HS Grad	30-44
1997	Employed,	ON	Female	85	No	12.5	HS Grad	30-44
1997	Employed,	ON	Male	207	No	13	HS Grad	45-59
1997	Employed,	AL	Female	3	No	18	HS Dropout	45-59
1997	Employed,	QU	Male	37	Yes	16.72	Some PS	30-44
1997	Employed,	AL	Female	2	No	12.41	Some PS	30-44
1997	Unemployed	QU	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	QU	Female	186	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	211	Yes	26.04	BA or More	45-59
1997	Employed,	ON	Male	11	No	12.12	Some PS	15-29
1997	Employed,	AL	Female	4	NA	NA	HS Dropout	15-29
1997	Employed,	ON	Male	127	No	33.53	BA or More	30-44
1997	Employed,	ON	Male	240	Yes	15	HS Grad	45-59
1997	Employed,	ON	Male	111	Yes	15.5	Some PS	45-59
1997	Employed,	ON	Male	4	No	7.35	Some PS	15-29
1997	Employed,	ON	Male	21	NA	NA	BA or More	30-44
1997	Employed,	ON	Female	33	No	14.42	Some PS	30-44
1997	Employed,	AL	Female	94	Yes	17	HS Grad	45-59
1997	Employed,	BC	Female	178	NA	NA	Some PS	45-59
1997	Employed,	BC	Female	3	No	7	HS Dropout	15-29
1997	Employed,	BC	Male	79	NA	NA	BA or More	30-44
1997	Employed,	QU	Male	228	Yes	16	Some PS	45-59
1997	Employed,	ON	Female	94	No	11	BA or More	45-59
1997	Employed,	QU	Female	116	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	2	No	15	Some PS	30-44
1997	Employed,	AL	Male	7	NA	NA	Some PS	15-29
1997	Employed,	ON	Female	58	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Female	103	No	20.88	HS Grad	15-29
1997	Employed,	BC	Male	240	NA	NA	Some PS	30-44
1997	Unemployed	ON	Female	NA	NA	NA	HS Dropout	15-29
1997	Employed,	AL	Male	7	No	10.1	Some PS	45-59
1997	Employed,	AL	Male	5	No	8.4	Some PS	15-29
1997	Employed,	BC	Male	240	Yes	30.29	BA or More	45-59
1997	Employed,	ON	Female	178	Yes	26.17	Some PS	30-44
1997	Employed,	AL	Female	195	Yes	13	HS Dropout	45-59
1997	Employed,	ON	Female	135	No	19.85	Some PS	45-59
1997	Employed,	ON	Male	41	NA	NA	BA or More	45-59
1997	Employed,	BC	Male	240	No	39.93	Some PS	45-59
1997	Employed,	ON	Female	19	No	8.5	HS Grad	30-44
1997	Employed,	AL	Male	13	No	16.62	BA or More	30-44
1997	Employed,	ON	Male	111	No	16.62	HS Grad	15-29
1997	Employed,	ON	Male	27	NA	NA	Some PS	30-44
1997	Employed,	ON	Male	87	No	23.08	BA or More	30-44
1997	Employed,	ON	Male	18	Yes	14.15	Some PS	45-59
1997	Employed,	AL	Male	240	No	12.5	HS Grad	60+
1997	Unemployed	QU	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	9	No	9	HS Dropout	15-29
1997	Unemployed	ON	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Male	115	No	13.64	BA or More	30-44
1997	Unemployed	QU	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	20	No	7	HS Grad	60+
1997	Employed,	ON	Female	11	No	6.85	Some PS	15-29
1997	Employed,	ON	Female	240	Yes	22.69	BA or More	30-44
1997	Employed,	AL	Female	18	No	6.5	Some PS	15-29
1997	Employed,	BC	Female	7	Yes	15	HS Grad	30-44
1997	Unemployed	ON	Male	NA	NA	NA	Some PS	45-59
1997	Employed,	ON	Male	6	Yes	9.4	HS Grad	30-44
1997	Employed,	ON	Female	44	No	14	HS Dropout	30-44
1997	Employed,	QU	Male	131	Yes	14	HS Grad	30-44
1997	Employed,	QU	Female	19	No	9	HS Dropout	30-44
1997	Employed,	AL	Male	7	No	8.65	HS Grad	15-29
1997	Employed,	QU	Male	1	No	6.95	HS Dropout	15-29
1997	Employed,	ON	Female	78	No	16.4	HS Grad	30-44
1997	Employed,	ON	Female	12	No	8.65	HS Grad	15-29
1997	Employed,	QU	Male	61	NA	NA	HS Dropout	30-44
1997	Employed,	ON	Male	199	Yes	17.56	HS Dropout	30-44
1997	Employed,	QU	Female	86	No	11.2	Some PS	45-59
1997	Employed,	ON	Female	34	Yes	11.34	Some PS	45-59
1997	Unemployed	ON	Male	NA	NA	NA	HS Grad	30-44
1997	Employed,	QU	Female	1	No	7	HS Grad	30-44
1997	Employed,	ON	Female	204	Yes	27.5	BA or More	30-44
1997	Employed,	QU	Female	238	Yes	20.66	Some PS	30-44
1997	Employed,	QU	Female	17	No	6.5	HS Dropout	15-29
1997	Employed,	ON	Female	7	No	8.79	HS Dropout	30-44
1997	Employed,	AL	Female	65	No	8.75	HS Dropout	45-59
1997	Employed,	ON	Male	89	NA	NA	BA or More	30-44
1997	Employed,	ON	Female	19	No	7.95	HS Dropout	15-29
1997	Employed,	AL	Female	240	NA	NA	BA or More	45-59
1997	Employed,	ON	Male	40	No	7	HS Grad	15-29
1997	Employed,	QU	Female	43	No	15	HS Grad	30-44
1997	Employed,	ON	Female	20	No	10	Some PS	45-59
1997	Employed,	AL	Male	6	No	10.49	Some PS	15-29
1997	Employed,	ON	Male	34	No	9.06	Some PS	15-29
1997	Employed,	ON	Male	240	No	21	HS Dropout	45-59
1997	Employed,	ON	Female	60	No	8.89	Some PS	30-44
1997	Unemployed	AL	Female	NA	NA	NA	HS Dropout	15-29
1997	Employed,	ON	Female	199	No	15	HS Dropout	45-59
1997	Unemployed	QU	Male	NA	NA	NA	HS Dropout	15-29
1997	Employed,	ON	Female	85	Yes	13.52	HS Grad	30-44
1997	Employed,	BC	Female	199	NA	NA	BA or More	45-59
1997	Employed,	AL	Female	58	NA	NA	HS Grad	45-59
1997	Employed,	BC	Male	21	Yes	14.63	HS Grad	15-29
1997	Employed,	QU	Male	240	NA	NA	Some PS	45-59
1997	Employed,	ON	Male	15	No	22.84	BA or More	15-29
1997	Employed,	QU	Male	83	No	7	Some PS	15-29
1997	Employed,	QU	Male	214	Yes	18.53	HS Dropout	45-59
1997	Employed,	QU	Female	232	Yes	13.46	Some PS	30-44
1997	Employed,	ON	Female	1	No	7.25	Some PS	45-59
1997	Unemployed	ON	Male	NA	NA	NA	Some PS	60+
1997	Employed,	BC	Female	55	NA	NA	Some PS	45-59
1997	Employed,	AL	Male	104	No	11.5	HS Dropout	60+
1997	Employed,	AL	Female	32	No	7.75	HS Dropout	45-59
1997	Employed,	QU	Male	132	NA	NA	HS Dropout	30-44
1997	Unemployed	QU	Female	NA	NA	NA	HS Grad	45-59
1997	Employed,	ON	Male	163	No	48.08	HS Grad	45-59
1997	Employed,	BC	Male	127	NA	NA	Some PS	30-44
1997	Employed,	QU	Female	130	No	30.77	Some PS	15-29
1997	Employed,	QU	Male	12	Yes	17	HS Dropout	15-29
1997	Employed,	ON	Female	223	Yes	24	Some PS	30-44
1997	Employed,	AL	Female	112	Yes	16.55	HS Grad	45-59
1997	Employed,	ON	Male	87	NA	NA	Some PS	30-44
1997	Employed,	QU	Female	91	Yes	12.5	BA or More	30-44
1997	Employed,	AL	Female	35	NA	NA	HS Grad	30-44
1997	Employed,	ON	Female	144	No	11.75	Some PS	30-44
1997	Employed,	QU	Male	59	No	35.1	Some PS	30-44
1997	Employed,	QU	Male	240	Yes	30.77	BA or More	60+
1997	Employed,	QU	Male	63	Yes	11.03	HS Dropout	30-44
1997	Employed,	ON	Female	7	No	6.85	HS Grad	15-29
1997	Employed,	QU	Female	34	No	8.33	HS Dropout	30-44
1997	Employed,	ON	Female	80	No	14.98	Some PS	30-44
1997	Employed,	AL	Male	19	No	20	Some PS	30-44
1997	Employed,	ON	Female	6	No	10	BA or More	30-44
1997	Employed,	ON	Female	10	Yes	7	HS Dropout	15-29
1997	Employed,	BC	Male	240	Yes	18	HS Grad	45-59
1997	Employed,	ON	Male	7	NA	NA	BA or More	30-44
1997	Employed,	ON	Male	198	Yes	25.3	Some PS	30-44
1997	Employed,	QU	Female	31	No	10	Some PS	15-29
1997	Employed,	AL	Male	1	No	7	HS Grad	15-29
1997	Employed,	ON	Female	17	No	6.85	HS Grad	30-44
1997	Employed,	QU	Male	4	No	10.8	Some PS	15-29
1997	Employed,	QU	Male	99	No	38.46	BA or More	30-44
1997	Employed,	ON	Female	135	Yes	15	Some PS	45-59
1997	Employed,	QU	Female	240	Yes	21.42	Some PS	45-59
1997	Employed,	QU	Male	7	Yes	12.5	Some PS	30-44
1997	Employed,	QU	Male	65	Yes	7.65	Some PS	15-29
1997	Unemployed	BC	Female	NA	NA	NA	HS Grad	15-29
1997	Unemployed	ON	Female	NA	NA	NA	HS Dropout	45-59
1997	Employed,	ON	Female	7	No	6.4	HS Dropout	15-29
1997	Employed,	BC	Female	96	No	8.5	HS Dropout	60+
1997	Employed,	ON	Female	234	NA	NA	Some PS	60+
1997	Unemployed	QU	Female	NA	NA	NA	HS Dropout	15-29
1997	Employed,	QU	Female	34	No	12	BA or More	15-29
1997	Employed,	AL	Female	98	No	15.79	Some PS	60+
1997	Employed,	AL	Male	240	NA	NA	HS Dropout	45-59
1997	Employed,	ON	Female	50	No	10.9	HS Grad	30-44
1997	Employed,	ON	Male	78	Yes	29.91	Some PS	30-44
1997	Employed,	ON	Female	119	Yes	16	Some PS	45-59
1997	Employed,	QU	Female	134	No	12.5	HS Dropout	45-59
1997	Employed,	BC	Female	111	Yes	13.92	HS Grad	45-59
1997	Employed,	ON	Female	22	No	15	BA or More	30-44
1997	Employed,	ON	Female	132	No	8	HS Grad	45-59
1997	Unemployed	BC	Female	NA	NA	NA	Some PS	45-59
1997	Employed,	BC	Male	17	Yes	25	Some PS	45-59
1997	Employed,	QU	Female	3	No	8	HS Dropout	45-59
1997	Unemployed	ON	Female	NA	NA	NA	HS Grad	45-59
1997	Employed,	ON	Female	123	No	9.5	Some PS	15-29
1997	Unemployed	QU	Female	NA	NA	NA	BA or More	30-44
1997	Employed,	QU	Male	15	No	9.25	Some PS	30-44
1997	Employed,	ON	Male	240	No	21.79	HS Dropout	60+
1997	Employed,	ON	Male	28	No	10	Some PS	15-29
1997	Employed,	QU	Female	111	NA	NA	BA or More	45-59
1997	Employed,	ON	Female	123	No	25.9	BA or More	30-44
1997	Unemployed	ON	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	QU	Male	240	No	26.44	Some PS	45-59
1997	Employed,	AL	Male	51	NA	NA	HS Grad	30-44
1997	Unemployed	AL	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	BC	Male	72	No	19.78	HS Grad	15-29
1997	Employed,	ON	Female	82	No	6.73	Some PS	45-59
1997	Employed,	AL	Male	240	NA	NA	Some PS	45-59
1997	Employed,	QU	Female	98	No	10	Some PS	15-29
1997	Employed,	ON	Female	42	No	9	Some PS	30-44
1997	Employed,	QU	Female	240	Yes	15.38	HS Grad	45-59
1997	Employed,	AL	Male	19	No	10	Some PS	15-29
1997	Employed,	QU	Male	240	Yes	22.69	BA or More	60+
1997	Employed,	QU	Female	40	No	10	Some PS	15-29
1997	Employed,	ON	Female	13	No	6.85	Some PS	30-44
1997	Employed,	QU	Male	35	No	8	Some PS	15-29
1997	Employed,	BC	Male	22	No	28.87	BA or More	30-44
1997	Employed,	QU	Female	18	Yes	6.89	Some PS	30-44
1997	Employed,	AL	Female	13	No	6.25	HS Dropout	45-59
1997	Employed,	BC	Female	66	Yes	22	Some PS	30-44
1997	Employed,	ON	Male	7	No	7	HS Dropout	15-29
1997	Employed,	AL	Female	33	No	5.45	HS Grad	15-29
1997	Employed,	ON	Female	2	No	8.5	Some PS	15-29
1997	Employed,	ON	Male	39	No	7.5	HS Dropout	30-44
1997	Unemployed	ON	Female	NA	NA	NA	BA or More	45-59
1997	Employed,	AL	Female	240	No	13.27	HS Dropout	30-44
1997	Employed,	ON	Male	62	No	13.5	HS Grad	30-44
1997	Unemployed	ON	Male	NA	NA	NA	BA or More	15-29
1997	Unemployed	ON	Female	NA	NA	NA	Some PS	30-44
1997	Employed,	BC	Male	91	Yes	23.08	Some PS	45-59
1997	Employed,	AL	Male	46	No	11.5	Some PS	15-29
1997	Employed,	ON	Female	3	No	10	HS Dropout	30-44
1997	Employed,	BC	Female	8	No	7.1	HS Dropout	15-29
1997	Employed,	BC	Male	179	NA	NA	HS Grad	30-44
1997	Employed,	AL	Female	12	No	14.66	Some PS	15-29
1997	Employed,	ON	Female	31	No	12.5	BA or More	30-44
1997	Unemployed	QU	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	ON	Female	132	No	16.19	HS Grad	30-44
1997	Employed,	ON	Female	92	Yes	23.27	Some PS	30-44
1997	Employed,	QU	Male	206	Yes	19	Some PS	30-44
1997	Employed,	QU	Male	120	No	24.04	Some PS	15-29
1997	Employed,	QU	Male	95	No	10	HS Grad	15-29
1997	Employed,	ON	Female	5	No	10.26	BA or More	15-29
1997	Employed,	QU	Male	37	No	5.63	HS Dropout	15-29
1997	Employed,	QU	Female	5	No	9	Some PS	15-29
1997	Employed,	ON	Female	8	No	9	HS Dropout	15-29
1997	Unemployed	BC	Male	NA	NA	NA	Some PS	30-44
1997	Employed,	QU	Female	35	No	6.75	Some PS	15-29
1997	Employed,	ON	Female	88	No	31.25	HS Grad	30-44
1997	Employed,	ON	Male	36	NA	NA	Some PS	45-59
1997	Employed,	ON	Male	57	NA	NA	BA or More	15-29
1997	Employed,	ON	Male	13	No	40	BA or More	30-44
1997	Unemployed	BC	Male	NA	NA	NA	Some PS	15-29
1997	Employed,	ON	Male	116	NA	NA	HS Dropout	60+
1997	Employed,	QU	Female	56	No	9	HS Dropout	15-29
1997	Employed,	ON	Male	240	NA	NA	HS Grad	45-59
1997	Employed,	ON	Male	66	No	13.75	HS Grad	30-44
1997	Employed,	ON	Female	210	No	10.75	Some PS	45-59
1997	Unemployed	QU	Male	NA	NA	NA	Some PS	15-29
1997	Unemployed	ON	Female	NA	NA	NA	HS Grad	15-29
1997	Employed,	ON	Female	5	No	7	HS Dropout	15-29
1997	Employed,	QU	Male	12	No	23.56	Some PS	30-44
1997	Employed,	QU	Male	240	Yes	20	HS Dropout	30-44
1997	Unemployed	QU	Male	NA	NA	NA	Some PS	45-59
1997	Employed,	AL	Male	79	No	5.86	HS Grad	60+
1997	Employed,	ON	Male	78	Yes	22.4	HS Dropout	45-59
1997	Employed,	AL	Female	24	No	10	HS Dropout	30-44
1997	Employed,	ON	Male	240	NA	NA	Some PS	60+
1997	Employed,	ON	Female	219	No	16.15	HS Grad	30-44
1997	Employed,	AL	Female	101	No	14.67	Some PS	15-29
1997	Employed,	BC	Female	13	No	21.63	HS Dropout	45-59
1997	Employed,	ON	Male	240	No	25	Some PS	30-44
1997	Employed,	ON	Female	32	No	15.38	Some PS	30-44
1997	Employed,	ON	Male	121	No	7	HS Grad	30-44
1997	Employed,	ON	Female	5	No	12	Some PS	15-29
1997	Employed,	AL	Male	12	No	5.5	HS Dropout	15-29
1997	Employed,	QU	Male	185	No	34.41	BA or More	45-59
1997	Employed,	ON	Female	121	No	10	HS Dropout	30-44
1997	Employed,	QU	Male	58	Yes	7	Some PS	15-29
1997	Employed,	QU	Male	25	Yes	22	Some PS	30-44
1997	Employed,	ON	Female	103	Yes	20.51	BA or More	30-44
1997	Employed,	AL	Male	222	NA	NA	Some PS	30-44
