SURVYEAR	LFSSTAT	PROV	AGE	SEX	EDUC	TENURE	UNION	HRLYEARN	HOURS
1997	Employed,	AL	30-44	Female	Some PS	6	No	11.25	35
1997	Employed,	AL	30-44	Male	Some PS	78	No	20	45
1997	Employed,	AL	30-44	Male	Some PS	20	NA	NA	40
1997	Employed,	AL	30-44	Male	Some PS	65	NA	NA	99
1997	Employed,	AL	30-44	Male	Some PS	199	NA	NA	40
1997	Employed,	AL	30-44	Female	Some PS	215	Yes	15.22	32
1997	Employed,	AL	30-44	Female	Some PS	75	Yes	16.78	23
1997	Employed,	AL	30-44	Female	Some PS	202	Yes	13.78	29.5
1997	Employed,	AL	45-59	Male	Some PS	240	NA	NA	60
1997	Employed,	AL	45-59	Female	Some PS	16	NA	NA	40
1997	Employed,	AL	45-59	Male	Some PS	62	NA	NA	40
1997	Employed,	AL	45-59	Male	Some PS	240	NA	NA	50
1997	Employed,	AL	45-59	Male	Some PS	118	NA	NA	91
1997	Employed,	AL	45-59	Male	Some PS	16	No	16.16	48
1997	Employed,	AL	45-59	Female	Some PS	240	No	20.62	37.5
1997	Employed,	AL	45-59	Female	Some PS	70	No	6.25	16
1997	Employed,	AL	45-59	Female	Some PS	240	NA	NA	0
1997	Employed,	AL	45-59	Female	Some PS	154	No	12.69	40
1997	Employed,	AL	45-59	Male	Some PS	82	NA	NA	20
1997	Employed,	AL	45-59	Male	Some PS	18	NA	NA	65
1997	Employed,	AL	45-59	Male	Some PS	171	No	15	45
1997	Employed,	AL	45-59	Male	Some PS	102	Yes	17.49	37.5
1997	Employed,	AL	60+	Male	Some PS	2	Yes	24	40
1997	Employed,	AL	60+	Female	Some PS	240	NA	NA	70
1997	Employed,	AL	60+	Female	Some PS	240	Yes	21	35
1997	Employed,	AL	60+	Male	Some PS	240	NA	NA	40
1997	Employed,	AL	15-29	Female	BA or More	40	No	11.54	40
1997	Employed,	AL	15-29	Female	BA or More	4	Yes	17.61	30
1997	Employed,	AL	15-29	Female	BA or More	45	No	8	25
1997	Employed,	AL	15-29	Female	BA or More	37	No	10.99	47
1997	Employed,	AL	30-44	Female	BA or More	1	NA	NA	4
1997	Employed,	AL	30-44	Female	BA or More	175	Yes	19.66	54
1997	Employed,	AL	30-44	Female	BA or More	77	Yes	22.48	0
1997	Employed,	AL	30-44	Male	BA or More	83	No	25.96	60
1997	Employed,	AL	30-44	Male	BA or More	17	No	49.64	40.5
1997	Employed,	AL	45-59	Male	BA or More	135	No	43.27	8
1997	Employed,	AL	45-59	Male	BA or More	127	No	46.15	40
1997	Employed,	AL	45-59	Male	BA or More	51	NA	NA	37.5
1997	Employed,	AL	45-59	Female	BA or More	90	No	10.77	50
1997	Employed,	AL	45-59	Male	BA or More	240	No	34.97	44
1997	Employed,	AL	45-59	Male	BA or More	240	Yes	25.48	45
1997	Employed,	AL	45-59	Female	BA or More	240	Yes	34.17	44
1997	Employed,	AL	60+	Male	BA or More	123	No	70	37.5
1997	Employed,	AL	60+	Male	BA or More	1	No	8.33	12
1997	Employed,	AL	60+	Male	BA or More	240	NA	NA	45
1997	Employed,	BC	15-29	Male	HS Dropout	9	No	7	8
1997	Employed,	BC	15-29	Male	HS Dropout	13	No	7	4
1997	Employed,	BC	15-29	Male	HS Dropout	49	NA	NA	45
1997	Employed,	BC	15-29	Male	HS Dropout	20	No	10	40
1997	Employed,	BC	30-44	Female	HS Dropout	55	No	11	25
1997	Unemployed	BC	30-44	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	BC	30-44	Female	HS Dropout	86	No	12	40
1997	Employed,	BC	30-44	Male	HS Dropout	37	No	17	30
1997	Employed,	BC	30-44	Female	HS Dropout	149	No	12.02	40
1997	Employed,	BC	30-44	Female	HS Dropout	60	NA	NA	28
1997	Employed,	BC	30-44	Male	HS Dropout	130	Yes	18.48	40
1997	Employed,	BC	45-59	Female	HS Dropout	1	NA	NA	16
1997	Employed,	BC	45-59	Male	HS Dropout	42	Yes	10.29	26
1997	Employed,	BC	45-59	Male	HS Dropout	63	No	15	40
1997	Employed,	BC	45-59	Male	HS Dropout	11	No	24	40
1997	Employed,	BC	45-59	Male	HS Dropout	38	NA	NA	80
1997	Employed,	BC	45-59	Female	HS Dropout	10	NA	NA	50
1997	Employed,	BC	60+	Male	HS Dropout	240	NA	NA	0
1997	Employed,	BC	60+	Male	HS Dropout	240	NA	NA	12
1997	Employed,	BC	60+	Female	HS Dropout	158	NA	NA	10
1997	Employed,	BC	60+	Female	HS Dropout	231	NA	NA	65
1997	Employed,	BC	15-29	Female	HS Grad	31	NA	NA	40
1997	Employed,	BC	15-29	Male	HS Grad	30	Yes	14	37.5
1997	Employed,	BC	15-29	Male	HS Grad	6	No	11.5	56
1997	Employed,	BC	15-29	Male	HS Grad	72	No	19.78	50
1997	Employed,	BC	15-29	Female	HS Grad	1	No	7	19
1997	Employed,	BC	15-29	Male	HS Grad	86	No	25	40
1997	Unemployed	BC	15-29	Male	HS Grad	NA	NA	NA	NA
1997	Employed,	BC	15-29	Female	HS Grad	4	No	8	24
1997	Employed,	BC	30-44	Female	HS Grad	131	Yes	16.17	37
1997	Employed,	BC	30-44	Male	HS Grad	7	No	20	35
1997	Employed,	BC	30-44	Female	HS Grad	7	Yes	16	0
1997	Employed,	BC	30-44	Female	HS Grad	59	No	14.36	0
1997	Employed,	BC	30-44	Male	HS Grad	35	Yes	18.04	35
1997	Employed,	BC	30-44	Male	HS Grad	226	Yes	20.08	40
1997	Employed,	BC	30-44	Male	HS Grad	40	No	8	20
1997	Employed,	BC	45-59	Male	HS Grad	118	Yes	21.63	40
1997	Employed,	BC	45-59	Female	HS Grad	39	No	11.6	35
1997	Employed,	BC	45-59	Male	HS Grad	3	NA	NA	60
1997	Unemployed	BC	45-59	Female	HS Grad	NA	NA	NA	NA
1997	Employed,	BC	45-59	Male	HS Grad	240	Yes	23.1	49
1997	Employed,	BC	45-59	Female	HS Grad	51	NA	NA	30
1997	Employed,	BC	45-59	Female	HS Grad	118	No	11.73	15
1997	Employed,	BC	15-29	Female	Some PS	63	Yes	18.7	40
1997	Employed,	BC	15-29	Male	Some PS	36	No	12.69	40
1997	Employed,	BC	15-29	Male	Some PS	42	No	15.5	40
1997	Employed,	BC	15-29	Male	Some PS	6	No	29.29	40
1997	Employed,	BC	15-29	Female	Some PS	74	No	7	0
1997	Employed,	BC	15-29	Male	Some PS	98	No	8	10
1997	Unemployed	BC	15-29	Male	Some PS	NA	NA	NA	NA
1997	Employed,	BC	15-29	Male	Some PS	35	No	14.29	70
1997	Employed,	BC	15-29	Male	Some PS	6	No	7.5	40
1997	Employed,	BC	15-29	Female	Some PS	8	No	8.5	31
1997	Employed,	BC	15-29	Female	Some PS	26	No	7.5	64.5
1997	Employed,	BC	15-29	Female	Some PS	36	NA	NA	0
1997	Employed,	BC	15-29	Female	Some PS	14	No	8	35
1997	Employed,	BC	15-29	Female	Some PS	4	No	7	10
1997	Employed,	BC	15-29	Female	Some PS	2	No	8	35
1997	Unemployed	BC	15-29	Male	Some PS	NA	NA	NA	NA
1997	Employed,	BC	15-29	Female	Some PS	43	No	7.84	26
1997	Employed,	BC	15-29	Female	Some PS	1	No	7	24
1997	Unemployed	BC	15-29	Male	Some PS	NA	NA	NA	NA
1997	Employed,	BC	15-29	Male	Some PS	36	Yes	16.56	50
1997	Employed,	BC	30-44	Female	Some PS	22	No	14.42	33
1997	Employed,	BC	30-44	Male	Some PS	55	Yes	18	40
1997	Employed,	BC	30-44	Female	Some PS	183	No	20.19	0
1997	Employed,	BC	30-44	Male	Some PS	10	No	26.37	0
1997	Employed,	BC	30-44	Male	Some PS	129	NA	NA	60
1997	Employed,	BC	30-44	Male	Some PS	125	NA	NA	80
1997	Employed,	BC	30-44	Male	Some PS	69	No	25.9	37
1997	Employed,	BC	30-44	Female	Some PS	175	No	25.64	37.5
1997	Employed,	BC	30-44	Female	Some PS	138	Yes	26	24
1997	Employed,	BC	30-44	Female	Some PS	66	No	8.08	40
1997	Unemployed	BC	30-44	Female	Some PS	NA	NA	NA	NA
1997	Employed,	BC	30-44	Female	Some PS	47	Yes	17	28
1997	Employed,	BC	30-44	Male	Some PS	34	NA	NA	0
1997	Employed,	BC	30-44	Male	Some PS	114	Yes	20	28
1997	Employed,	BC	30-44	Male	Some PS	109	Yes	35	56
1997	Employed,	BC	30-44	Female	Some PS	107	Yes	20.08	16
1997	Employed,	BC	30-44	Male	Some PS	99	Yes	29.06	8
1997	Employed,	BC	30-44	Male	Some PS	121	Yes	26	47.5
1997	Employed,	BC	30-44	Male	Some PS	20	Yes	20.3	36
1997	Employed,	BC	30-44	Male	Some PS	103	No	19.25	40
1997	Employed,	BC	30-44	Female	Some PS	91	Yes	25.67	42
1997	Unemployed	BC	30-44	Female	Some PS	NA	NA	NA	NA
1997	Employed,	BC	30-44	Male	Some PS	14	No	10	37
1997	Employed,	BC	30-44	Female	Some PS	22	No	12.88	46
1997	Employed,	BC	30-44	Female	Some PS	2	No	11.1	0
1997	Employed,	BC	30-44	Female	Some PS	97	Yes	35	0
1997	Employed,	BC	30-44	Female	Some PS	21	No	29.23	37.5
1997	Employed,	BC	30-44	Female	Some PS	55	NA	NA	62
1997	Employed,	BC	45-59	Female	Some PS	77	NA	NA	50
1997	Employed,	BC	45-59	Female	Some PS	109	No	23.08	35
1997	Employed,	BC	45-59	Male	Some PS	240	Yes	24.04	40
1997	Employed,	BC	45-59	Male	Some PS	74	NA	NA	20
1997	Employed,	BC	45-59	Female	Some PS	90	NA	NA	20
1997	Employed,	BC	45-59	Female	Some PS	1	NA	NA	16
1997	Employed,	BC	45-59	Male	Some PS	240	Yes	25.87	40
1997	Employed,	BC	45-59	Male	Some PS	43	No	17.95	37.5
1997	Employed,	BC	45-59	Male	Some PS	18	NA	NA	60
1997	Employed,	BC	45-59	Male	Some PS	115	Yes	24.32	54
1997	Employed,	BC	45-59	Male	Some PS	42	No	19.62	40
1997	Employed,	BC	45-59	Male	Some PS	240	Yes	26.15	37.5
1997	Employed,	BC	45-59	Female	Some PS	240	Yes	11.5	40
1997	Employed,	BC	45-59	Female	Some PS	231	NA	NA	30
1997	Employed,	BC	45-59	Male	Some PS	12	NA	NA	60
1997	Employed,	BC	45-59	Male	Some PS	37	NA	NA	40
1997	Employed,	BC	45-59	Female	Some PS	230	Yes	15.38	37.5
1997	Employed,	BC	45-59	Female	Some PS	96	Yes	13.5	30
1997	Employed,	BC	45-59	Male	Some PS	55	NA	NA	55
1997	Employed,	BC	60+	Male	Some PS	129	No	20	18
1997	Employed,	BC	60+	Male	Some PS	58	Yes	20	40
1997	Employed,	BC	60+	Male	Some PS	171	Yes	18.04	36
1997	Employed,	BC	15-29	Male	BA or More	39	No	23.08	60
1997	Employed,	BC	15-29	Female	BA or More	1	No	13	70
1997	Employed,	BC	15-29	Female	BA or More	15	Yes	14.48	40
1997	Employed,	BC	15-29	Female	BA or More	7	NA	NA	8
1997	Employed,	BC	15-29	Male	BA or More	12	No	13.46	59
1997	Employed,	BC	15-29	Female	BA or More	79	No	15	40
1997	Employed,	BC	15-29	Male	BA or More	23	Yes	26	40
1997	Employed,	BC	30-44	Female	BA or More	89	NA	NA	32
1997	Employed,	BC	30-44	Male	BA or More	237	Yes	17	0
1997	Employed,	BC	30-44	Male	BA or More	87	No	19.3	46
1997	Employed,	BC	30-44	Male	BA or More	85	Yes	17.9	37.5
1997	Employed,	BC	30-44	Female	BA or More	46	Yes	27	49
1997	Employed,	BC	30-44	Male	BA or More	199	Yes	23.08	50
1997	Employed,	BC	30-44	Male	BA or More	30	NA	NA	40
1997	Employed,	BC	30-44	Male	BA or More	116	Yes	22.21	37
1997	Employed,	BC	30-44	Female	BA or More	41	Yes	23.69	35
1997	Employed,	BC	30-44	Female	BA or More	87	Yes	15.3	31
1997	Employed,	BC	30-44	Female	BA or More	97	No	25	0
1997	Employed,	BC	30-44	Female	BA or More	92	No	14.2	32.5
1997	Employed,	BC	30-44	Female	BA or More	139	NA	NA	53
1997	Employed,	BC	30-44	Male	BA or More	216	No	28.43	60
1997	Employed,	BC	45-59	Male	BA or More	4	Yes	25.72	40
1997	Employed,	BC	45-59	Male	BA or More	39	NA	NA	30
1997	Employed,	BC	45-59	Male	BA or More	19	No	21.63	50
1997	Employed,	BC	45-59	Male	BA or More	194	No	55.29	99
1997	Employed,	BC	45-59	Male	BA or More	91	Yes	27.35	36
1997	Employed,	BC	45-59	Male	BA or More	81	Yes	28.85	35
1997	Employed,	BC	45-59	Male	BA or More	240	No	42	40
1997	Employed,	BC	45-59	Female	BA or More	28	No	18	35
1997	Employed,	BC	60+	Female	BA or More	127	NA	NA	20
1997	Employed,	ON	15-29	Female	HS Dropout	45	No	6.85	10
1997	Employed,	ON	15-29	Male	HS Dropout	63	No	8.5	40
1997	Employed,	ON	15-29	Male	HS Dropout	19	NA	NA	0
1997	Employed,	ON	15-29	Male	HS Dropout	6	NA	NA	12
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	16	No	7.5	8
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	44	Yes	14.25	16
1997	Unemployed	ON	15-29	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	4	No	6.85	35
1997	Employed,	ON	15-29	Male	HS Dropout	8	No	10	40
1997	Employed,	ON	15-29	Female	HS Dropout	20	No	9	36
1997	Employed,	ON	15-29	Male	HS Dropout	12	No	6.85	6
1997	Unemployed	ON	15-29	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	132	NA	NA	30
1997	Employed,	ON	15-29	Male	HS Dropout	14	No	7	12
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	7	No	6.5	6
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Unemployed	ON	15-29	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Dropout	90	No	8.35	40
1997	Employed,	ON	15-29	Male	HS Dropout	8	No	6.75	9
1997	Employed,	ON	15-29	Female	HS Dropout	4	No	6.85	0
1997	Employed,	ON	15-29	Female	HS Dropout	5	NA	NA	2
1997	Employed,	ON	30-44	Male	HS Dropout	199	No	12.76	40
1997	Employed,	ON	30-44	Male	HS Dropout	99	No	15.1	33.5
1997	Employed,	ON	30-44	Male	HS Dropout	120	Yes	17.63	60
1997	Employed,	ON	30-44	Male	HS Dropout	40	NA	NA	25
1997	Unemployed	ON	30-44	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	30-44	Male	HS Dropout	23	No	11.5	45
1997	Employed,	ON	30-44	Male	HS Dropout	240	NA	NA	37.5
1997	Employed,	ON	30-44	Female	HS Dropout	39	No	7.15	35
1997	Employed,	ON	30-44	Female	HS Dropout	10	Yes	9	24
1997	Employed,	ON	30-44	Male	HS Dropout	202	Yes	11	40
1997	Employed,	ON	30-44	Male	HS Dropout	180	Yes	19	40
1997	Employed,	ON	30-44	Male	HS Dropout	188	Yes	18	0
1997	Employed,	ON	30-44	Female	HS Dropout	5	No	6.85	14
1997	Employed,	ON	30-44	Female	HS Dropout	19	No	13.3	40
1997	Employed,	ON	30-44	Female	HS Dropout	25	No	9.25	32
1997	Employed,	ON	30-44	Male	HS Dropout	168	NA	NA	40
1997	Employed,	ON	30-44	Female	HS Dropout	10	NA	NA	0
1997	Employed,	ON	30-44	Male	HS Dropout	29	No	11.11	60
1997	Employed,	ON	30-44	Male	HS Dropout	25	No	14	32
1997	Employed,	ON	30-44	Male	HS Dropout	94	Yes	15.38	40
1997	Employed,	ON	30-44	Female	HS Dropout	36	No	6.45	4
1997	Employed,	ON	30-44	Female	HS Dropout	146	No	16.47	40
1997	Employed,	ON	30-44	Female	HS Dropout	3	NA	NA	56
1997	Unemployed	ON	30-44	Female	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	30-44	Male	HS Dropout	29	NA	NA	0
1997	Employed,	ON	30-44	Male	HS Dropout	27	NA	NA	40
1997	Employed,	ON	30-44	Male	HS Dropout	62	Yes	15	48
1997	Employed,	ON	45-59	Male	HS Dropout	240	No	19.23	0
1997	Employed,	ON	45-59	Male	HS Dropout	240	Yes	20.67	41
1997	Employed,	ON	45-59	Female	HS Dropout	6	No	11	8
1997	Employed,	ON	45-59	Male	HS Dropout	240	Yes	22.22	48
1997	Employed,	ON	45-59	Male	HS Dropout	18	Yes	14.92	40
1997	Employed,	ON	45-59	Female	HS Dropout	14	No	9	40
1997	Employed,	ON	45-59	Male	HS Dropout	81	Yes	18	41
1997	Employed,	ON	45-59	Female	HS Dropout	32	No	10	40
1997	Employed,	ON	45-59	Male	HS Dropout	240	NA	NA	45
1997	Employed,	ON	45-59	Male	HS Dropout	162	NA	NA	70
1997	Employed,	ON	45-59	Male	HS Dropout	4	Yes	27.85	60
1997	Employed,	ON	45-59	Male	HS Dropout	104	Yes	16	40
1997	Employed,	ON	45-59	Male	HS Dropout	42	NA	NA	0
1997	Employed,	ON	45-59	Female	HS Dropout	97	Yes	15.95	40
1997	Employed,	ON	45-59	Male	HS Dropout	102	Yes	19.73	38
1997	Employed,	ON	45-59	Female	HS Dropout	132	No	9.15	25
1997	Employed,	ON	45-59	Male	HS Dropout	178	NA	NA	51
1997	Employed,	ON	45-59	Male	HS Dropout	240	Yes	17.5	40
1997	Employed,	ON	45-59	Male	HS Dropout	51	No	11	40
1997	Employed,	ON	45-59	Female	HS Dropout	82	Yes	12.5	40
1997	Employed,	ON	45-59	Male	HS Dropout	240	Yes	13.9	40
1997	Employed,	ON	45-59	Male	HS Dropout	240	NA	NA	20
1997	Employed,	ON	45-59	Female	HS Dropout	240	No	15.18	25
1997	Employed,	ON	45-59	Female	HS Dropout	206	Yes	17.5	0
1997	Employed,	ON	45-59	Male	HS Dropout	197	Yes	17	40
1997	Employed,	ON	60+	Male	HS Dropout	240	NA	NA	40
1997	Employed,	ON	60+	Male	HS Dropout	240	NA	NA	45
1997	Employed,	ON	60+	Male	HS Dropout	36	No	5.88	10
1997	Employed,	ON	60+	Male	HS Dropout	240	NA	NA	90
1997	Employed,	ON	60+	Male	HS Dropout	240	No	15.71	60
1997	Unemployed	ON	60+	Male	HS Dropout	NA	NA	NA	NA
1997	Employed,	ON	15-29	Female	HS Grad	4	No	7.5	45
1997	Employed,	ON	15-29	Female	HS Grad	154	No	8.39	13.5
1997	Employed,	ON	15-29	Female	HS Grad	104	Yes	21.69	48
1997	Employed,	ON	15-29	Male	HS Grad	86	No	14	42
1997	Employed,	ON	15-29	Male	HS Grad	64	NA	NA	40
1997	Employed,	ON	15-29	Female	HS Grad	74	No	10	12
1997	Employed,	ON	15-29	Male	HS Grad	41	NA	NA	32
1997	Employed,	ON	15-29	Male	HS Grad	9	No	7.25	0
1997	Employed,	ON	15-29	Male	HS Grad	21	No	10.58	50
1997	Employed,	ON	15-29	Female	HS Grad	6	No	6.95	25
1997	Employed,	ON	15-29	Female	HS Grad	31	Yes	12.87	10
1997	Employed,	ON	15-29	Female	HS Grad	1	No	7	35
1997	Employed,	ON	15-29	Female	HS Grad	5	No	7	24
1997	Unemployed	ON	15-29	Male	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	15-29	Female	HS Grad	7	No	6.85	9
1997	Employed,	ON	15-29	Male	HS Grad	8	No	8	35
1997	Employed,	ON	15-29	Male	HS Grad	26	No	7.15	6
1997	Unemployed	ON	15-29	Female	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	15-29	Female	HS Grad	34	Yes	12	40
1997	Employed,	ON	15-29	Male	HS Grad	9	No	7	20
1997	Employed,	ON	15-29	Female	HS Grad	4	No	6.85	20
1997	Unemployed	ON	15-29	Male	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	15-29	Male	HS Grad	30	No	7	30
1997	Employed,	ON	30-44	Female	HS Grad	39	No	10	40
1997	Employed,	ON	30-44	Male	HS Grad	240	No	32.59	56
1997	Employed,	ON	30-44	Female	HS Grad	59	No	10	40
1997	Unemployed	ON	30-44	Female	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	30-44	Female	HS Grad	80	No	6.35	48
1997	Employed,	ON	30-44	Male	HS Grad	210	Yes	24.27	42
1997	Employed,	ON	30-44	Female	HS Grad	110	No	8	20
1997	Employed,	ON	30-44	Male	HS Grad	20	No	15	50
1997	Employed,	ON	30-44	Female	HS Grad	111	Yes	10.71	14
1997	Employed,	ON	30-44	Female	HS Grad	99	No	9.05	32
1997	Unemployed	ON	30-44	Male	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	30-44	Female	HS Grad	183	No	14	35
1997	Employed,	ON	30-44	Male	HS Grad	12	NA	NA	47
1997	Employed,	ON	30-44	Female	HS Grad	91	Yes	21.03	37.5
1997	Unemployed	ON	30-44	Female	HS Grad	NA	NA	NA	NA
1997	Employed,	ON	30-44	Female	HS Grad	63	No	16.41	0
1997	Employed,	ON	30-44	Male	HS Grad	163	No	15.52	55
